name,county,latitude,longitude,year,acres,structures
Dinosaur Fire,Merced,37.07147,-121.20155,2016,1246,
Roblar Fire,San Diego,33.393,-117.35093,2016,1245,
Sage Fire,Los Angeles,34.36763,-118.57245,2016,1109,
Marshes Fire,Tuolumne,37.79635,-120.32484,2016,1080,
Saddle Fire,Butte,39.6871,-121.571,2016,850,3
Grade Fire,Siskiyou,41.7813,-122.611,2016,710,5
Marina Fire,Mono,37.97,-119.14,2016,650,
Tully Fire,Humboldt,41.28486,-123.82268,2016,599,3
Fort Fire,Kern,34.913,118.9082,2016,554,
99 Fire,Butte,39.6708,-121.7192,2016,550,
Range Fire,Kern,35.2013,-118.7212,2016,518,
Colyear Fire,Tehama,40.0353,-122.56939,2016,464,
Willow Fire,Calaveras,38.1874,-120.6381,2016,450,
Fiddler Fire,Shasta,40.36873,-122.72913,2016,441,1
Beale Fire,Yuba,36.16965,-121.38775,2016,400,
Tule Fire,Tulare,36.1648,-118.73906,2016,395,
Howard Fire,Modoc,41.4657,-120.9066,2016,380,
